id,cur_pos,cur_vel,error,goal_pos,target
0,-1.37919752685178E-06,-9.32849226275076E-07,1.37919752685178E-06,0,0.0001472483
1,-1.38828365603416E-06,-8.86542201873398E-07,1.38828365603416E-06,0,0.0001476938
2,-1.39685993882921E-06,-8.33717397707153E-07,1.39685993882921E-06,0,0.0001480232
3,-1.40490248323744E-06,-7.80110136146185E-07,1.40490248323744E-06,0,0.0001482914
4,-1.41243844442585E-06,-7.18323583011818E-07,1.41243844442585E-06,0,0.0001484271
5,-1.41937734721154E-06,-6.71670191990786E-07,1.41937734721154E-06,0,0.0001486544
6,-1.42580337314513E-06,-6.18577825080174E-07,1.42580337314513E-06,0,0.0001487661
7,-1.43169342070593E-06,-5.6478163100874E-07,1.43169342070593E-06,0,0.0001488172
8,-1.43707542488158E-06,-5.02884516730336E-07,1.43707542488158E-06,0,0.0001487364
9,-1.44185969386257E-06,-4.56198679636051E-07,1.44185969386257E-06,0,0.000148748
10,-1.44613119079651E-06,-4.0315170278182E-07,1.44613119079651E-06,0,0.0001486446
11,-1.44986758687793E-06,-3.49478410828092E-07,1.44986758687793E-06,0,0.0001484815
12,-1.45309759691514E-06,-2.87781384914828E-07,1.45309759691514E-06,0,0.0001481876
13,-1.45573229470841E-06,-2.41372451074108E-07,1.45573229470841E-06,0,0.000147987
14,-1.45785740901516E-06,-1.88678798916791E-07,1.45785740901516E-06,0,0.0001476725
15,-1.45945137486336E-06,-1.35434825684534E-07,1.45945137486336E-06,0,0.0001472995
16,-1.46054366556569E-06,-7.42426800557346E-08,1.46054366556569E-06,0,0.0001467968
17,-0.000001461,-2.84137169016969E-08,0.000001461,0,0.0001463888
18,-0.000001461,2.36253797211975E-08,0.000001461,0,0.0001458683
19,-1.46052004179609E-06,7.61407081032811E-08,1.46052004179609E-06,0,0.0001452906
20,-1.4595009263374E-06,1.36530694524389E-07,1.4595009263374E-06,0,0.0001445848
21,-1.45790038530436E-06,1.81484541059162E-07,1.45790038530436E-06,0,0.0001439752
22,-1.45580562005421E-06,2.32576153252516E-07,1.45580562005421E-06,0,0.0001432548
23,-1.45319653110931E-06,2.84072249238924E-07,1.45319653110931E-06,0,0.0001424789
